date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-07,Washington Wizards,Chicago Bulls,3.05,1.48,Matchbook
2026-04-07,Indiana Pacers,Minnesota Timberwolves,7.6,1.17,Matchbook
2026-04-07,Brooklyn Nets,Milwaukee Bucks,2.21,1.81,1xBet
2026-04-07,Toronto Raptors,Miami Heat,1.86,2.14,Betfair
2026-04-08,Boston Celtics,Charlotte Hornets,1.57,2.72,1xBet
2026-04-08,New Orleans Pelicans,Utah Jazz,1.24,5.5,1xBet
2026-04-08,Golden State Warriors,Sacramento Kings,1.12,8.8,Betfair
2026-04-08,Los Angeles Clippers,Dallas Mavericks,1.18,6.5,Betfair
2026-04-08,Los Angeles Lakers,Oklahoma City Thunder,16.0,1.06,Betfair
2026-04-08,Phoenix Suns,Houston Rockets,1.99,2.01,Betfair
