date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-06,Atlanta Hawks,New York Knicks,1.96,2.06,Betfair
2026-04-06,Orlando Magic,Detroit Pistons,2.36,1.72,Betfair
2026-04-07,Memphis Grizzlies,Cleveland Cavaliers,10.24,1.1,MyBookie.ag
2026-04-07,San Antonio Spurs,Philadelphia 76ers,1.32,4.2,1xBet
2026-04-07,Denver Nuggets,Portland Trail Blazers,1.33,3.95,1xBet
2026-04-07,Toronto Raptors,Miami Heat,1.74,2.24,1xBet
2026-04-08,Boston Celtics,Charlotte Hornets,1.45,3.1,1xBet
2026-04-08,Los Angeles Clippers,Dallas Mavericks,1.22,4.98,1xBet
2026-04-08,Los Angeles Lakers,Oklahoma City Thunder,10.8,1.09,1xBet
2026-04-08,Phoenix Suns,Houston Rockets,2.13,1.82,1xBet
