date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-04,Denver Nuggets,San Antonio Spurs,2.16,1.84,Matchbook
2026-04-04,Miami Heat,Washington Wizards,1.06,18.0,1xBet
2026-04-04,Philadelphia 76ers,Detroit Pistons,2.31,1.7,1xBet
2026-04-05,Boston Celtics,Toronto Raptors,1.28,4.36,Betsson
2026-04-05,Chicago Bulls,Phoenix Suns,5.5,1.23,Betfair
2026-04-05,Minnesota Timberwolves,Charlotte Hornets,1.88,2.05,1xBet
2026-04-05,New Orleans Pelicans,Orlando Magic,2.4,1.72,GTbets
2026-04-05,Oklahoma City Thunder,Utah Jazz,1.04,16.0,1xBet
2026-04-05,Dallas Mavericks,Los Angeles Lakers,3.29,1.4,1xBet
2026-04-06,Sacramento Kings,Los Angeles Clippers,7.8,1.19,1xBet
2026-04-06,Golden State Warriors,Houston Rockets,2.49,1.63,1xBet
