date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-05,Boston Celtics,Toronto Raptors,1.25,4.9,1xBet
2026-04-05,Brooklyn Nets,Washington Wizards,1.66,2.48,1xBet
2026-04-05,Chicago Bulls,Phoenix Suns,4.9,1.25,Betfair
2026-04-05,Milwaukee Bucks,Memphis Grizzlies,1.45,3.15,Matchbook
2026-04-05,Cleveland Cavaliers,Indiana Pacers,1.09,12.0,1xBet
2026-04-05,Minnesota Timberwolves,Charlotte Hornets,2.17,1.83,1xBet
2026-04-05,New Orleans Pelicans,Orlando Magic,2.77,1.57,1xBet
2026-04-05,Oklahoma City Thunder,Utah Jazz,1.02,36.0,Coolbet
2026-04-05,Dallas Mavericks,Los Angeles Lakers,2.16,1.86,Matchbook
2026-04-06,Sacramento Kings,Los Angeles Clippers,7.0,1.16,Betfair
2026-04-06,Golden State Warriors,Houston Rockets,2.5,1.67,Unibet (NL)
2026-04-06,Atlanta Hawks,New York Knicks,2.02,1.91,1xBet
2026-04-07,San Antonio Spurs,Philadelphia 76ers,1.31,4.0,1xBet
2026-04-07,Denver Nuggets,Portland Trail Blazers,1.3,4.46,Nordic Bet
